date,price_index,mortgage_rate,sentiment_index,interest_rate,median_price,gdp,year_quarter
2003-01-01,129.32,5.84,79.97,2.25,186000,11174.13,2003Q1
2003-01-04,131.76,5.51,89.27,2.17,191800,11312.77,2003Q1
2003-01-07,135.01,6.03,89.3,2.0,191900,11566.67,2003Q1
2003-01-10,138.84,5.92,91.97,2.0,198800,11772.23,2003Q1
2004-01-01,143.3,5.6,98.0,2.0,212700,11923.45,2004Q1
2004-01-04,148.21,6.11,93.33,2.08,217600,12112.82,2004Q1
2004-01-07,152.72,5.89,95.6,2.5,213500,12305.31,2004Q1
2004-01-10,157.54,5.74,93.87,3.0,228800,12527.21,2004Q1
2005-01-01,163.48,5.77,94.07,3.5,232500,12767.29,2005Q1
2005-01-04,169.35,5.71,90.2,4.0,233700,12922.66,2005Q1
2005-01-07,174.58,5.76,87.5,4.5,236400,13142.64,2005Q1
2005-01-10,179.54,6.23,82.43,5.0,243600,13324.2,2005Q1
2006-01-01,183.32,6.25,88.93,5.58,247700,13599.16,2006Q1
2006-01-04,184.0,6.6,83.8,6.0,246300,13753.42,2006Q1
2006-01-07,182.82,6.56,84.03,6.25,235600,13870.19,2006Q1
2006-01-10,183.65,6.24,92.47,6.25,245400,14039.56,2006Q1
2007-01-01,184.42,6.21,92.2,6.25,257400,14215.65,2007Q1
2007-01-04,181.62,6.36,86.9,6.25,242200,14402.08,2007Q1
2007-01-07,178.26,6.55,85.73,5.75,241800,14564.12,2007Q1
2007-01-10,175.37,6.22,77.5,4.92,238400,14715.06,2007Q1
2008-01-01,171.58,5.87,72.9,3.17,233900,14706.54,2008Q1
2008-01-04,166.67,6.09,59.6,2.25,235300,14865.7,2008Q1
2008-01-07,161.95,6.32,64.83,2.25,226500,14899.0,2008Q1
2008-01-10,156.03,5.84,57.67,1.0,222500,14608.21,2008Q1
2009-01-01,150.06,5.06,58.27,0.5,208400,14430.9,2009Q1
2009-01-04,147.91,5.01,68.2,0.5,220900,14381.24,2009Q1
2009-01-07,148.24,5.16,68.4,0.5,214300,14448.88,2009Q1
2009-01-10,147.97,4.92,70.17,0.5,219000,14651.25,2009Q1
2010-01-01,146.29,5.0,73.87,0.67,222900,14764.61,2010Q1
2010-01-04,146.17,4.92,73.93,0.75,219500,14980.19,2010Q1
2010-01-07,143.97,4.45,68.3,0.75,224100,15141.6,2010Q1
2010-01-10,142.25,4.44,71.27,0.75,224300,15309.47,2010Q1
2011-01-01,140.62,4.85,73.07,0.75,226900,15351.44,2011Q1
2011-01-04,139.92,4.65,71.87,0.75,228100,15557.54,2011Q1
2011-01-07,139.23,4.29,59.67,0.75,223500,15647.68,2011Q1
2011-01-10,137.26,4.0,64.8,0.75,221100,15842.27,2011Q1
2012-01-01,137.01,3.92,75.5,0.75,238400,16068.82,2012Q1
2012-01-04,140.11,3.79,76.3,0.75,238700,16207.13,2012Q1
2012-01-07,142.29,3.55,74.97,0.75,248800,16319.54,2012Q1
2012-01-10,144.56,3.36,79.4,0.75,251700,16420.39,2012Q1
2013-01-01,148.19,3.5,76.67,0.75,258400,16629.05,2013Q1
2013-01-04,152.85,3.67,81.67,0.75,268100,16699.55,2013Q1
2013-01-07,156.93,4.44,81.57,0.75,264800,16911.07,2013Q1
2013-01-10,160.1,4.29,76.93,0.75,273600,17133.11,2013Q1
2014-01-01,162.51,4.36,80.93,0.75,275200,17144.28,2014Q1
2014-01-04,163.71,4.23,82.83,0.75,288000,17462.7,2014Q1
2014-01-07,165.23,4.14,82.97,0.75,281000,17743.23,2014Q1
2014-01-10,167.34,3.96,89.77,0.75,298900,17852.54,2014Q1
2015-01-01,169.19,3.72,95.5,0.75,289200,17991.35,2015Q1
2015-01-04,170.88,3.82,94.23,0.75,289100,18193.71,2015Q1
2015-01-07,172.96,3.95,90.73,0.75,295800,18306.96,2015Q1
2015-01-10,175.7,3.9,91.3,0.83,302500,18332.08,2015Q1
2016-01-01,177.7,3.74,91.57,1.0,299800,18425.31,2016Q1
2016-01-04,179.42,3.59,92.4,1.0,306000,18611.62,2016Q1
2016-01-07,181.84,3.45,90.33,1.0,303800,18775.46,2016Q1
2016-01-10,184.75,3.84,93.07,1.08,310900,18968.04,2016Q1
2017-01-01,187.37,4.17,97.23,1.33,313100,19148.19,2017Q1
2017-01-04,189.62,3.98,96.37,1.58,318200,19304.51,2017Q1
2017-01-07,192.64,3.88,95.1,1.75,320500,19561.9,2017Q1
2017-01-10,195.98,3.92,98.37,1.83,337900,19894.75,2017Q1
2018-01-01,199.15,4.28,98.93,2.08,331800,20155.49,2018Q1
2018-01-04,201.45,4.54,98.33,2.33,315600,20470.2,2018Q1
2018-01-07,203.69,4.57,98.07,2.58,330900,20687.28,2018Q1
2018-01-10,205.64,4.78,98.13,2.83,322800,20819.27,2018Q1
2019-01-01,206.77,4.37,94.47,3.0,313000,21013.08,2019Q1
2019-01-04,208.14,4.01,98.47,3.0,322500,21272.45,2019Q1
2019-01-07,210.16,3.66,93.8,2.75,318400,21531.84,2019Q1
2019-01-10,212.81,3.7,97.2,2.25,327100,21706.53,2019Q1
2020-01-01,215.64,3.52,96.63,1.58,329000,21538.03,2020Q1
2020-01-04,217.24,3.24,74.07,0.25,322600,19636.73,2020Q1
2020-01-07,222.64,2.95,75.67,0.25,337500,21362.43,2020Q1
2020-01-10,233.09,2.76,79.8,0.25,358700,21704.71,2020Q1
2021-01-01,242.27,2.88,80.23,0.25,369800,22313.85,2021Q1
2021-01-04,253.81,3.0,85.57,0.25,382600,23046.93,2021Q1
2021-01-07,266.83,2.87,74.77,1.04,411200,23550.42,2021Q1
2021-01-10,277.32,3.08,69.9,1.04,423600,24349.12,2021Q1
2022-01-01,290.87,3.82,63.13,1.04,433100,24740.48,2022Q1
2022-01-04,303.42,5.27,57.87,1.04,449300,25248.48,2022Q1
2022-01-07,301.73,5.62,56.1,1.04,468000,25723.94,2022Q1
2022-01-10,297.9,6.66,58.8,1.04,479500,26137.99,2022Q1
2023-01-01,172.27,6.37,64.63,1.04,436800,26465.86,2023Q1
